342	349	390	323	439	331	250	312	382	314	210	328	292	298	198	352	
1.43493e-42	0	0	0	3.67342e-39	1.17549e-38	9.55089e-38	2	0	0	0	-0	3.58732e-43	0	1.47166e-38	3.36312e-44	
5.60519e-45	0	0	1.0842e-19	3.92364e-43	3.58732e-43	1.6263e-19	2.125	1.46938e-39	5.73972e-42	1.50463e-36	2.8026e-45	6.16298e-33	1.12104e-44	9.40397e-38	-1.54284e-38	
1.17607e-38	1.4815e+20	2.86986e-42	2.38844e-39	1.43493e-42	7.17465e-43	0	1.50505e-36	5.87748e-39	7.34684e-39	1.18023e-38	1.35533e-19	0	7.34684e-40	1.52814e-36	1.88079e-36	
2.0459e-43	1.50463e-36	2	7.34685e-39	0	7.34684e-39	-2.93874e-39	0	2.77556e-17	0	2.88107e-42	2.9877e-39	-2.95596e-39	1.50463e-36	7.17465e-43	1.08448e-19	
7.17465e-42	3.58732e-43	0	9.40395e-38	9.41314e-38	1.50463e-36	2.35156e-38	2.52435e-29	0	5.73972e-42	0	0	2.35099e-38	1.8385e-40	0	3.22859e-42	
0	1.41059e-37	0	5.87747e-39	1.47098e-39	2.29589e-41	2.00195	3.36312e-44	0	3.78659e-29	0	2.24208e-44	7.35043e-40	1.50463e-36	2.00001	2.351e-38	
3.85187e-34	1.24896e-38	2.81246e-40	1.14906e-41	-0	1.79366e-43	0	0	2.93874e-39	2.86986e-42	3.80464e+19	1.6143e-42	0	1.08473e-19	1.4013e-45	7.34729e-40	
1.83671e-40	0	1.93957e-37	2.52435e-29	0	0	0	0	0	0	8.40779e-45	-3.58732e-43	0	0	0	1.79366e-43	
0	5.74112e-42	2	3.71817e+19	1.14794e-41	-0	-1.46939e-39	5.8775e-39	1.50463e-36	0	9.40395e-38	3.67521e-40	1.08447e-19	9.99174e-38	1.83672e-40	3.85565e-34	
2.52435e-29	0	0	0	1.83671e-40	1.17551e-38	0	0	3.85186e-34	4.48416e-44	0	0	0	0	-2.52435e-29	0	
1.54075e-33	0	4.06377e-43	2.86986e-42	0	0	1.48085e-39	2.86986e-42	0	2.52435e-29	0	1.12104e-44	7.40424e-40	0	0	9.40625e-38	
1.83671e-40	1.17549e-38	1.0842e-19	0	1.79366e-43	5.87747e-39	2	2	1.8385e-40	2.29589e-41	3.789e-29	4.33346e-34	9.40855e-38	9.18411e-41	0	1.44053e-42	
0	0	9.18411e-41	0	3.67432e-40	4.33334e-34	7.34685e-40	-1.46941e-39	0	3.67521e-40	2.93874e-39	0	3.23118e-26	2.31382e-41	0	1.89411e-40	
0	0	0	1.0842e-19	0	2.35099e-38	0	2.86986e-42	5.76494e-42	0	0	1.18009e-38	0	2.52436e-29	0	2.93874e-39	
0	1.12104e-44	0	2.00001	0	1.08421e-19	0	2.24208e-44	3.58732e-43	1.17549e-37	1.46939e-39	4.48416e-44	0	2.88107e-42	0	4.59177e-41	
